"state","county","checklists","totalSpSeen","modeledTotal","speciesDifference"
"AL","autauga",670,193,274.807664585163,81.8076645851632
"AL","baldwin",14482,395,371.676026209876,0
"AL","barbour",1456,285,269.116088317141,0
"AL","bibb",355,147,276.507893001631,129.507893001631
"AL","blount",471,146,271.988425268149,125.988425268149
"AL","bullock",2180,209,268.827322987243,59.8273229872433
"AL","butler",161,155,281.869725692165,126.869725692165
"AL","calhoun",1328,199,265.047145300846,66.0471453008464
"AL","chambers",418,205,260.402490722181,55.4024907221813
"AL","cherokee",226,190,264.955205398873,74.9552053988725
"AL","chilton",348,149,276.975907161492,127.975907161492
"AL","choctaw",256,165,296.643816612643,131.643816612643
"AL","clarke",949,169,312.653765453107,143.653765453107
"AL","clay",1158,148,259.760799695556,111.760799695556
"AL","cleburne",284,163,251.414315062249,88.4143150622491
"AL","coffee",348,140,294.812765443868,154.812765443868
"AL","colbert",2180,285,288.294920870056,3.29492087005571
"AL","conecuh",138,150,308.549697773485,158.549697773485
"AL","coosa",343,164,265.00615021229,101.00615021229
"AL","covington",804,211,319.303869083227,108.303869083227
"AL","crenshaw",191,146,273.203354370823,127.203354370823
"AL","cullman",491,180,277.923635812334,97.9236358123335
"AL","dale",803,170,272.287268846217,102.287268846217
"AL","dallas",144,158,284.127897734259,126.127897734259
"AL","de kalb",902,171,265.131058854937,94.1310588549371
"AL","elmore",2300,227,267.251643821223,40.2516438212232
"AL","escambia",234,179,323.189726059108,144.189726059108
"AL","etowah",297,155,263.275883905431,108.275883905431
"AL","fayette",67,143,285.483625215724,142.483625215724
"AL","franklin",245,175,290.109746098553,115.109746098553
"AL","geneva",458,195,299.125577562116,104.125577562116
"AL","greene",360,150,287.403805195327,137.403805195327
"AL","hale",1153,222,285.921751312879,63.9217513128795
"AL","henry",454,188,268.990189422981,80.9901894229814
"AL","houston",1256,191,299.963546733738,108.963546733738
"AL","jackson",1037,224,276.565705101888,52.5657051018882
"AL","jefferson",6646,252,274.123910840215,22.123910840215
